CP_Hotellist;
Grouped by Tier, URI and Query;
;
URI;Query
/boka-resa;QueryDepID=2788&QueryCtryID=71&QueryAreaID=0&QueryResID=30334&QueryDepDate=20180805&QueryDur=8&CategoryId=2&QueryRoomAges=|42,42&QueryUnits=1
/boka-resa;QueryDepID=2788&QueryCtryID=-1&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180601&QueryDur=5&CategoryId=2&QueryRoomAges=|42,42&QueryUnits=1
/boka-resa;QueryDepID=2770&QueryCtryID=-1&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180625&QueryDur=8&CategoryId=2&QueryRoomAges=|42,42&QueryUnits=1
/boka-resa;QueryDepID=2788&QueryCtryID=71&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180805&QueryDur=15&CategoryId=2&QueryRoomAges=%7C42%2C42&QueryUnits=1&selectedTransport=CgJWUxIDQVJOGgNCSlYgDyoECLaVAjICNzE6AUU%3D&firstDisplayed=CgJWUxIDQVJOGgNBWVQgDyoECKiVAjICNzI6AUU%3D
/boka-resa;QueryDepID=2583&QueryCtryID=32&QueryAreaID=152&QueryResID=0&QueryDepDate=20180715&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42%2C15&QueryUnits=0
/boka-resa;QueryDepID=2770&QueryCtryID=20&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180704&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42&QueryUnits=1&orderBy=LP
/boka-resa;QueryDepID=2788&QueryCtryID=32&QueryAreaID=0&QueryResID=61953&QueryDepDate=20180826&QueryDur=8&CategoryId=2&QueryRoomAges=|42,42&QueryUnits=0
/boka-resa;QueryDepID=2788&QueryCtryID=32&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180630&QueryDur=8&CategoryId=2&QueryRoomAges=|42,42,6,3&QueryUnits=0
/boka-resa;QueryDepID=2788&QueryCtryID=32&QueryAreaID=139&QueryResID=0&QueryDepDate=20180610&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42&QueryUnits=1
/boka-resa;QueryDepID=2788&QueryCtryID=16&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180819&QueryDur=8&CategoryId=2&QueryRoomAges=|42,42&QueryUnits=0
